UFSigla;gtap;elasticities
AC;1.0;1.1141762549158756
AC;3.0;5.609926555816841
AC;4.0;-5.069778609635428
AC;5.0;0.13318143556825301
AC;7.0;-29.64256300894514
AC;8.0;14.93925043328521
AC;9.0;6.278279951195117
AC;10.0;3.496873578743646
AC;11.0;19.443594242007492
AC;12.0;0.222296130573378
AC;13.0;-0.7841665816978165
AC;14.0;5.330620980643712
AC;18.0;-2.500970399292733
AC;19.0;-0.542774458721043
AC;20.0;6.00244032587195
AC;21.0;2.7020048460582617
AC;22.0;-0.09706456573102606
AC;23.0;2.834160257380937
AC;24.0;-9.387166661218949
AC;25.0;0.7431445168985107
AC;26.0;1.661130348956333
AC;27.0;0.41212041429509005
AC;28.0;2.3774131837777546
AC;29.0;4.064125639124063
AC;30.0;0.5567122052391404
AC;31.0;-17.873979330316836
AC;32.0;0.25295481086861393
AC;33.0;2.4263345613248557
AC;34.0;1.662064169095105
AC;35.0;-1.6633719190146117
AC;36.0;-0.7817696463789368
AC;37.0;1.9592291670150717
AC;38.0;2.030333922111449
AC;39.0;5.254430434470859
AC;40.0;-2.495711378830884
AC;41.0;1.7401614791127087
AC;42.0;0.7088380793413549
AC;43.0;0.7510472347049628
AC;45.0;3.7368056678394197
AC;46.0;0.5884852216450431
AC;47.0;1.442130798612288
AC;48.0;0.9467863223718549
AC;49.0;1.3174671552644046
AC;50.0;0.6774557028058696
AC;51.0;0.8369049753791415
AC;52.0;2.049555625781686
AC;53.0;3.0306224164746087
AC;54.0;2.8066218480666327
AC;55.0;0.774594327774313
AC;56.0;1.106388712288009
AC;57.0;1.079872572472682
AL;1.0;2.9608500371646826
AL;3.0;-9.56520096008419
AL;4.0;0.19258653094354372
AL;5.0;-0.29273307320230835
AL;6.0;-1.7876777084007358
AL;7.0;10.424113959911555
AL;8.0;12.831114674886635
AL;9.0;-0.39775449567227383
AL;10.0;2.2698806346594793
AL;11.0;-15.077154021025535
AL;12.0;-2.7132302524716256
AL;13.0;-10.992034579732874
AL;14.0;3.1891802982091626
AL;15.0;15.938838533954025
AL;16.0;2.7021497072078837
AL;18.0;1.8074892183552578
AL;19.0;0.8658641854615219
AL;20.0;0.732056583310337
AL;21.0;0.2790166870201626
AL;22.0;1.0974423752121858
AL;23.0;-4.588233966256282
AL;24.0;0.6050151930353707
AL;25.0;1.0904913735532418
AL;26.0;0.25823772097014075
AL;27.0;0.07961321084264572
AL;28.0;1.0214734478473986
AL;29.0;4.35636884526771
AL;30.0;3.0970615691956516
AL;31.0;2.544972892951842
AL;32.0;-0.8681447981432857
AL;33.0;-1.0101401159593024
AL;34.0;0.9808367091601546
AL;35.0;-0.2561766249138362
AL;36.0;-2.083243750648368
AL;37.0;1.3407476637714053
AL;38.0;2.8367476994275505
AL;39.0;1.1727529207456509
AL;40.0;2.2923119909372325
AL;41.0;2.921785815608845
AL;42.0;1.043913624858746
AL;43.0;0.5179264310693981
AL;44.0;1.574693134999293
AL;45.0;0.09640642182557002
AL;46.0;1.7637131695723962
AL;47.0;1.3590958689452144
AL;48.0;1.0887998841494948
AL;49.0;0.1932761524057396
AL;50.0;1.1402014921119896
AL;51.0;1.6912850750519812
AL;52.0;1.1900607345140592
AL;53.0;0.7933335750957475
AL;54.0;1.4240808975071992
AL;55.0;1.4025433902290416
AL;56.0;1.006083370188808
AL;57.0;1.6513986803496024
AM;1.0;-2.6715328727158862
AM;3.0;-19.023602479518438
AM;4.0;-5.819598324488865
AM;5.0;0.4606432559659578
AM;6.0;-2.815760590573248
AM;7.0;-1.7730478861546775
AM;8.0;-2.8480750766215834
AM;9.0;2.291675868382214
AM;10.0;1.0648285457988393
AM;11.0;-59.68651805862183
AM;12.0;2.3059172091266946
AM;13.0;5.371647428912468
AM;14.0;0.5492411500914578
AM;16.0;2.8181521634832976
AM;18.0;-3.774249643943577
AM;19.0;-0.3591170820433405
AM;20.0;0.38182047192217006
AM;21.0;-6.607033473591265
AM;22.0;1.2000591537941308
AM;23.0;-0.7360819737601403
AM;25.0;0.642976331986711
AM;26.0;1.5361651813757975
AM;27.0;1.4031907331369604
AM;28.0;1.2183113729594002
AM;29.0;4.842853803349474
AM;30.0;-0.15699899300927633
AM;31.0;1.3818360807725725
AM;32.0;0.13697759397612863
AM;33.0;0.15141819160314185
AM;34.0;1.0389999365420213
AM;35.0;1.3566846701892565
AM;36.0;2.4620202621635983
AM;37.0;2.6550672664651334
AM;38.0;1.0242529339717237
AM;39.0;0.3301285224935917
AM;40.0;2.130150494098368
AM;41.0;2.3742133273665518
AM;42.0;0.6935784250242509
AM;43.0;1.6431874802802753
AM;44.0;6.332105029247619
AM;45.0;3.89772639407418
AM;46.0;0.8992984603090335
AM;47.0;1.330868653615509
AM;48.0;0.6553744191837829
AM;49.0;0.8006081117605932
AM;50.0;0.918511199022622
AM;51.0;1.5237167655803852
AM;52.0;0.7522873996024408
AM;53.0;1.6614714905688182
AM;54.0;0.9671946447279307
AM;55.0;1.3652264687864673
AM;56.0;1.055236465051049
AM;57.0;1.4765609528660937
AP;1.0;-3.75536104098596
AP;3.0;-8.421722800226028
AP;4.0;-0.18149415055500384
AP;6.0;0.056888858363892215
AP;8.0;17.20364047528694
AP;9.0;19.577931618342177
AP;10.0;3.038572949986687
AP;11.0;21.053123498906473
AP;13.0;3.7917916529158493
AP;14.0;14.912390394563907
AP;16.0;0.3396617951540741
AP;18.0;3.053774332620044
AP;19.0;4.620918580076069
AP;20.0;6.957451084528881
AP;22.0;7.2255661693810485
AP;23.0;0.3350409011431421
AP;24.0;-0.44449776585136336
AP;25.0;0.8065488558072449
AP;26.0;2.282316761709225
AP;27.0;0.5925163790076782
AP;28.0;2.4690483187124066
AP;29.0;4.32237667232138
AP;30.0;0.7346854870781643
AP;31.0;0.47678135752300577
AP;32.0;0.0
AP;33.0;9.377036241579034
AP;34.0;0.5660696708077593
AP;35.0;-11.095260036202408
AP;36.0;4.204673447764891
AP;37.0;0.8980500682188977
AP;38.0;0.19395615546955147
AP;39.0;7.728762430859074
AP;40.0;0.0
AP;41.0;-0.3382238735206471
AP;42.0;1.388186961857068
AP;43.0;1.774138521823005
AP;45.0;2.189295001308313
AP;46.0;1.4031891854076228
AP;47.0;1.463076132811807
AP;48.0;0.7087842672313549
AP;49.0;0.9718703294319901
AP;50.0;0.26302291268191613
AP;51.0;1.0899247759521238
AP;52.0;1.9506493768739173
AP;53.0;3.7377312722058873
AP;54.0;1.3137477406306264
AP;55.0;1.796423737361465
AP;56.0;1.2791940213737902
AP;57.0;2.394087775311581
BA;1.0;-0.586604500886537
BA;2.0;5.602876540683245
BA;3.0;6.774370646964769
BA;4.0;-1.6741761235692252
BA;5.0;-0.16510868500169806
BA;6.0;14.683291032800582
